dupe_of,severity,creation_time,assigned_to,product,assigned_to_detail,creator_detail,last_change_time,creator,priority,status,component,id,resolution
,normal,2002-01-04T02:39:31Z,hallski,Gentoo Linux,"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}","{'email': 'tneidt', 'name': 'tneidt', 'real_name': 'Tod M. Neidt', 'id': 4}",2024-01-05T20:52:34Z,tneidt,High,RESOLVED,New packages,2,FIXED
,normal,2002-01-04T02:42:49Z,danarmak,Gentoo Linux,"{'real_name': 'Dan Armak (RETIRED)', 'id': 10, 'name': 'danarmak', 'email': 'danarmak'}","{'id': 4, 'real_name': 'Tod M. Neidt', 'name': 'tneidt', 'email': 'tneidt'}",2006-04-11T07:36:05Z,tneidt,High,RESOLVED,[OLD] Development,3,FIXED
,normal,2002-01-04T02:45:54Z,hallski,Gentoo Linux,"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'email': 'hallski', 'name': 'hallski'}","{'name': 'tneidt', 'email': 'tneidt', 'id': 4, 'real_name': 'Tod M. Neidt'}",2003-02-04T19:42:18Z,tneidt,High,RESOLVED,Current packages,4,FIXED
,normal,2002-01-04T02:48:30Z,kabau,Gentoo Linux,"{'real_name': 'Damon Conway (RETIRED)', 'id': 1, 'email': 'kabau', 'name': 'kabau'}","{'id': 4, 'real_name': 'Tod M. Neidt', 'email': 'tneidt', 'name': 'tneidt'}",2003-02-04T19:42:18Z,tneidt,High,RESOLVED,[OLD] Development,5,FIXED
,normal,2002-01-04T02:50:31Z,kabau,Gentoo Linux,"{'name': 'kabau', 'email': 'kabau', 'real_name': 'Damon Conway (RETIRED)', 'id': 1}","{'real_name': 'Tod M. Neidt', 'id': 4, 'name': 'tneidt', 'email': 'tneidt'}",2024-04-12T09:55:35Z,tneidt,High,RESOLVED,[OLD] Development,6,FIXED
,normal,2002-01-04T02:52:47Z,hallski,Gentoo Linux,"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'name': 'hallski', 'email': 'hallski'}","{'name': 'tneidt', 'email': 'tneidt', 'real_name': 'Tod M. Neidt', 'id': 4}",2003-02-04T19:42:18Z,tneidt,High,RESOLVED,[OLD] GNOME,7,FIXED
,normal,2002-01-04T07:14:44Z,hallski,Gentoo Linux,"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'name': 'hallski', 'email': 'hallski'}","{'email': 'ekarttun', 'name': 'ekarttun', 'real_name': 'Einar Karttunen', 'id': 7}",2003-02-04T19:42:18Z,ekarttun,High,RESOLVED,Current packages,8,FIXED
,minor,2002-01-04T09:17:36Z,g2boojum,Gentoo Linux,"{'email': 'g2boojum', 'name': 'g2boojum', 'id': 9, 'real_name': 'Grant Goodyear (RETIRED)'}","{'id': 9, 'real_name': 'Grant Goodyear (RETIRED)', 'email': 'g2boojum', 'name': 'g2boojum'}",2002-01-07T17:46:31Z,g2boojum,High,RESOLVED,[OLD] Server,9,FIXED
,minor,2002-01-04T09:19:09Z,azarah,Gentoo Linux,"{'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12, 'email': 'azarah', 'name': 'azarah'}","{'real_name': 'Grant Goodyear (RETIRED)', 'id': 9, 'name': 'g2boojum', 'email': 'g2boojum'}",2002-05-28T07:55:42Z,g2boojum,High,RESOLVED,[OLD] GNOME,10,FIXED
10.0,normal,2002-01-04T09:35:47Z,hallski,Gentoo Linux,"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'name': 'hallski', 'email': 'hallski'}","{'name': 'hallski', 'email': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",2012-03-01T12:45:12Z,hallski,High,RESOLVED,[OLD] GNOME,11,DUPLICATE
