assigned_to_detail,id,creator_detail,resolution,creator,last_change_time,priority,status,dupe_of,component,severity,assigned_to,creation_time,product
"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'email': 'hallski', 'name': 'hallski'}",2,"{'real_name': 'Tod M. Neidt', 'id': 4, 'email': 'tneidt', 'name': 'tneidt'}",FIXED,tneidt,2024-01-05T20:52:34Z,High,RESOLVED,,New packages,normal,hallski,2002-01-04T02:39:31Z,Gentoo Linux
"{'email': 'danarmak', 'name': 'danarmak', 'real_name': 'Dan Armak (RETIRED)', 'id': 10}",3,"{'name': 'tneidt', 'email': 'tneidt', 'id': 4, 'real_name': 'Tod M. Neidt'}",FIXED,tneidt,2006-04-11T07:36:05Z,High,RESOLVED,,[OLD] Development,normal,danarmak,2002-01-04T02:42:49Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",4,"{'real_name': 'Tod M. Neidt', 'id': 4, 'name': 'tneidt', 'email': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-04T02:45:54Z,Gentoo Linux
"{'email': 'kabau', 'name': 'kabau', 'id': 1, 'real_name': 'Damon Conway (RETIRED)'}",5,"{'email': 'tneidt', 'name': 'tneidt', 'id': 4, 'real_name': 'Tod M. Neidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,kabau,2002-01-04T02:48:30Z,Gentoo Linux
"{'name': 'kabau', 'email': 'kabau', 'real_name': 'Damon Conway (RETIRED)', 'id': 1}",6,"{'real_name': 'Tod M. Neidt', 'id': 4, 'name': 'tneidt', 'email': 'tneidt'}",FIXED,tneidt,2024-04-12T09:55:35Z,High,RESOLVED,,[OLD] Development,normal,kabau,2002-01-04T02:50:31Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",7,"{'id': 4, 'real_name': 'Tod M. Neidt', 'email': 'tneidt', 'name': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] GNOME,normal,hallski,2002-01-04T02:52:47Z,Gentoo Linux
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'email': 'hallski', 'name': 'hallski'}",8,"{'real_name': 'Einar Karttunen', 'id': 7, 'email': 'ekarttun', 'name': 'ekarttun'}",FIXED,ekarttun,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-04T07:14:44Z,Gentoo Linux
"{'id': 9, 'real_name': 'Grant Goodyear (RETIRED)', 'email': 'g2boojum', 'name': 'g2boojum'}",9,"{'name': 'g2boojum', 'email': 'g2boojum', 'id': 9, 'real_name': 'Grant Goodyear (RETIRED)'}",FIXED,g2boojum,2002-01-07T17:46:31Z,High,RESOLVED,,[OLD] Server,minor,g2boojum,2002-01-04T09:17:36Z,Gentoo Linux
"{'email': 'azarah', 'name': 'azarah', 'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12}",10,"{'real_name': 'Grant Goodyear (RETIRED)', 'id': 9, 'name': 'g2boojum', 'email': 'g2boojum'}",FIXED,g2boojum,2002-05-28T07:55:42Z,High,RESOLVED,,[OLD] GNOME,minor,azarah,2002-01-04T09:19:09Z,Gentoo Linux
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'email': 'hallski', 'name': 'hallski'}",11,"{'name': 'hallski', 'email': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",DUPLICATE,hallski,2012-03-01T12:45:12Z,High,RESOLVED,10.0,[OLD] GNOME,normal,hallski,2002-01-04T09:35:47Z,Gentoo Linux
"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'email': 'hallski', 'name': 'hallski'}",12,"{'name': 'hallski', 'email': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",FIXED,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Server,major,hallski,2002-01-04T11:02:21Z,Gentoo Linux
"{'id': 1972, 'real_name': 'John Davis (zhen) (RETIRED)', 'name': 'zhen', 'email': 'zhen'}",13,"{'name': 'damon', 'email': 'damon', 'real_name': 'Damon Conway', 'id': 3}",FIXED,damon,2011-10-30T23:11:57Z,Normal,RESOLVED,,Bugzilla,trivial,zhen,2002-01-04T15:22:20Z,Gentoo Infrastructure
"{'name': 'woodchip', 'email': 'woodchip', 'real_name': 'Donny Davies (RETIRED)', 'id': 13}",14,"{'name': 'woodchip', 'email': 'woodchip', 'id': 13, 'real_name': 'Donny Davies (RETIRED)'}",FIXED,woodchip,2020-08-10T13:07:19Z,High,RESOLVED,,[OLD] Core system,minor,woodchip,2002-01-04T15:25:14Z,Gentoo Linux
"{'id': 1972, 'real_name': 'John Davis (zhen) (RETIRED)', 'name': 'zhen', 'email': 'zhen'}",15,"{'name': 'damon', 'email': 'damon', 'real_name': 'Damon Conway', 'id': 3}",DUPLICATE,damon,2011-10-30T23:15:45Z,High,RESOLVED,13.0,Bugzilla,normal,zhen,2002-01-04T15:29:29Z,Gentoo Infrastructure
"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",16,"{'real_name': 'Geert Bevin', 'id': 5, 'name': 'gbevin', 'email': 'gbevin'}",FIXED,gbevin,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] GNOME,major,hallski,2002-01-04T16:21:20Z,Gentoo Linux
"{'name': 'azarah', 'email': 'azarah', 'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12}",17,"{'id': 5, 'real_name': 'Geert Bevin', 'email': 'gbevin', 'name': 'gbevin'}",FIXED,gbevin,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] GNOME,major,azarah,2002-01-04T18:14:07Z,Gentoo Linux
